"SCATS Number","Site Description","Latitude","Longitude","Neighbours"
970,"WARRIGAL/HIGH ST RD",-37.86703,145.09159,"3685;2846"
2000,"BURWOOD HWY/WARRIGAL/TOORAK",-37.8516827,145.0943457,"3682;3685;4043"
2200,"MAROONDAH/UNION",-37.81631,145.09812,"4063;3126"
2820,"CHANDLER HWY/PRINCESS/VALERIE/EASTERN",-37.79477,145.03077,"3662;4321;2825"
2825,"EASTERN/BURKE",-37.78661,145.06202,"2820;2827;4030"
2827,"EASTERN/BULLEEN/THOMPSONS",-37.78093,145.07733,"2825;4051"
2846,"MONASH/HIGH ST RD",-37.8612671,145.058038,"970"
3001,"BARKERS/CHURCH/HIGH",-37.81441,145.02243,"4821;3002;4262;3662"
3002,"BARKERS/DENMARK/POWER",-37.81489,145.02663,"4035;3001;3662;4263"
3120,"BURKE/CANTERBURY",-37.82264,145.05734,"4040;4035;3122"
3122,"CANTERBURY/STANHOPE",-37.82379,145.06466,"3127;3120;3804"
3126,"CANTERBURY/WARRIGAL/UNION",-37.82778,145.09885,"3127;3682;2200"
3127,"CANTERBURY/BALWYN",-37.82506,145.078,"3126;3122;4063"
3180,"DONCASTER/BALWYN",-37.79611,145.08372,"4051;4057"
3662,"HIGH/DENMARK/PRINCESS/S'PARK/COTHAM",-37.80876,145.02757,"3001;4335;3002;2820;4323"
3682,"WARRIGAL/RIVERSDALE",-37.83695,145.09699,"2000;3126;3804"
3685,"WARRIGAL/HIGHBURY",-37.85467,145.09384,"970;2000"
3804,"RIVERSDALE/TRAFALGAR/STANHOPE",-37.83331,145.06247,"3682;4040;3812;3122"
3812,"CAMBERWELL/SEYMOUR/TRAFALGAR",-37.83738,145.06119,"4040;3804"
4030,"BURKE/DONCASTER/KILBY/HIGH",-37.79561,145.06251,"2825;4032;4051;4321"
4032,"BURKE/BELMORE/HARP",-37.80202,145.06127,"4034;4030;4057;4321"
4034,"BURKE/COTHAM/WHITEHORSE",-37.81147,145.05946,"4032;4035;4324;4063"
4035,"BURKE/BARKERS/MONT ALBERT",-37.8172654,145.0583603,"4034;3120;3002"
4040,"BURKE/CAMBERWELL/RIVERSDALE",-37.83256,145.05545,"4043;3120;4266;3812;4272;3804"
4043,"BURKE/TOORAK",-37.84683,145.05275,"4040;2000;4273"
4051,"DONCASTER/BULLEEN/SEVERN",-37.79419,145.0696,"3180;4030;2827"
4057,"BALWYN/BELMORE",-37.80431,145.08197,"4063;3180;4032"
4063,"WHITEHORSE/BALWYN/MAROONDAH",-37.81404,145.0801,"4034;3127;4057;2200"
4262,"BURWOOD/CHURCH",-37.82155,145.01503,"4263;3001"
4263,"BURWOOD/POWER",-37.8228462,145.0251292,"4262;4264;3002"
4264,"BURWOOD/GLENFERRIE",-37.82389,145.03409,"4266;4263;4324;4270"
4266,"BURWOOD/AUBURN/CAMBERWELL",-37.8244706,145.043917,"4264;4040"
4270,"GLENFERRIE/RIVERSDALE",-37.82951,145.03304,"4264;4812;4272"
4272,"RIVERSDALE/TOORONGA",-37.83186,145.04668,"4270;4040;4273"
4273,"TOORAK/TOORONGA",-37.84632,145.04378,"4043;4272"
4321,"HIGH/HARP/VALERIE",-37.800776,145.0494611,"4335;4030;4032;2820"
4324,"COTHAM/GLENFERRIE",-37.809274,145.037306,"4034;4323;4264"
4335,"HIGH/CHARLES",-37.80624,145.03518,"4321;3662;4323"
4812,"SWAN/MADDEN/RIVERSDALE",-37.82859,145.01644,"4270"
4821,"VICTORIA/BURNLEY/WALMER/BARKERS",-37.81285,145.00849,"3001"
